Item,Functional Area,req,ADHA Priority,Notes to Vendor,rating,resp,match
23,CE and Certification,Ability for users to self-report externally-earned credit (e.g. courses earned at state conferences or through other LMSs) for inclusion in their transcript,M,,SS,"The Self-Reported Learning module (included in this proposal) allows learners to manage and report on their CE activities that happen outside of CourseStage. This module includes both the ability for a user to submit outside learning information via an easy-to-use form as well as the back end administration management of reviewing and approving learner requests. Form fields are customizable by administrators and may include such information to corroborate the granting of credit/certificate, such as:
• Activity Title
• Organizer
• Date Completed
• Duration
• Type of Activity
• Credits
• Uploading of documentation materials
• Description
The reported learning can then either go to an administrator for approval or show up automatically in the learner’s training transcript. Learners can track the statuses (approved, denied, and pending) of their reported learning via their profile.

This module allows the LMS to serve as a personal online learning file or portfolio.",0.780327868852459
24,CE and Certification,Ability to award users with a personalized PDF certificate based upon successful completion of a course,M,"ADHA offers learning products that qualify for credit and would like the opportunity to issue certificates, in addition to providing information via a transcript, that users can use as proof of completion/attendance and as proof of credit. The certificate must issued as a downloadable PDF document.",S,A custom branded certificate is included as part of the CourseStage implementation. Our team works with you to create a unique background image and determine which dynamic fields should be pulled automatically and populated in the certificate. Certificate backgrounds can be updated at any time at the LMS administration level. Certificates are automatically generated when course completion requirements are met. ,0.9801980198019802
25,Presentation and Access,"Ability to customize the look, feel, and navigation of the end user site to reflect ADHA's branding requirements",M,"Please indicate how this would be achieved (e.g., through custom CSS) and how much control ADHA has over the process vs. having to rely on your company to make modifications.",S,"As part of CourseStage implementation, clients work with WCW’s graphic design staff to develop theme of the platform interface. Options for branding in a standard implementation include:
- Header art and header links
- Colors (primary and secondary); other colors (such as highlight states) are derived from these colors
- Block styling (e.g., outlines; corners, shadows; dividers)
- Font and size of site text
- Breadcrumb appearance  

WCW brands your site using custom CSS. You have access to a CSS override box that can be used to implement your own changes to the styling. You can also upload header logos and customize header links. 
",0.7862595419847328
26,Presentation and Access,Ability for user to search and browse the content available in the system based on keywords and phrases and categories,M,"Please indicate whether search in your system is based on full text, metadata applied to content, or both and whether other factors such as popularity impact search results. Please describe the browse options.",S,,0.4657534246575342
27,Presentation and Access,Ability to create tags and apply them to learning materials to facilitate end users' searching within the site,M,Please indicate whether there are any types of content that are not taggable.,SS,A number of dashboards are available with base functionality. New reports can be configured by WCW staff. ,0.5301204819277109
28,Presentation and Access,Ability for visitors to the end user site to browse a catalog of products available for purchase/enrollment without having to be logged in,M,"Note: For this item and all other items related to catalog, shopping cart, and e-commerce in general, ADHA expects to work with the selected vendor to determine the best overall approach to e-commerce. Parts or all of the e-commerce process may ultimately be handled through existing ADHA systems, but for purposes of this RFP, ADHA wants to understand the e-commerce capabilities of your system. 

For e-commerce-related items, ratings in the ""ADHA Priority"" column are based on the assumption that your e-commerce system is used.",S,,0.46464646464646464
29,Presentation and Access,"Ability for the catalog to present and apply different pricing based on user groups (e.g., member/non-member, faculty, student) ",M,,S,,0.5128205128205128
30,Presentation and Access,Shopping cart/e-commerce capabilities that enable a user to pay for a course in the catalog with a credit card and be automatically enrolled into a course.,M,,S,,0.41379310344827586
33,Presentation and Access,Ability for a user to access a course or other product by submitting a code,M,"For example, ADHA may pursue organizational purchases, so it would like the ability to create codes that the purchasing organization can distribute to its users. It should be possible to report on who has used a code and when. (See item 75.)",S,Blocks can be added for comments to be added by learners in the course. ,0.5394736842105263
34,Presentation and Access,"Ability to bulk import/register a list of users (e.g., from an Excel file)",M,ADHA often registers full cohorts of students for NBR and might do something similar with certain membership categories (e.g. full-office membership),S,Custom user profile fields can be added that are specific to companies (sub-portals). Couse profile fields can be added on a sitewide basis.,0.5390070921985816
35,Presentation and Access,"Ability to define groups, roles, and permissions that determine the type and level of access a user has to the system (e.g., administrator, instructor, end user) and the user's ability to make changes",M,"It should be possible for users to have multiple roles/access levels in the system. A critical example is that a user might be a graduate of an ADHA certificate program. This person should be able to access materials that are made available specifically for certificate program graduates. (ADHA envisions a portal specifically for these users.) Ideally, it would also be possible to promote products to users based on their role/profile in the system. (See item 45.)",S,,0.1862348178137652
36,Presentation and Access,Ability to provide distinctly branded/co-branded instances or areas of the site for groups (sub-sites),M,"ADHA often partners with corporates to offer webinars and in-person learning, this co-branding would need to be reflected in the LMS.",S,"Our Sub-portal Module allows client administrators to set up sub-portals with:
• “Vanity” URLs.
• Custom headers with client-specific branding, visible on the login page and on all internal pages, including client logo and colors.
• Pre-defined customizable text areas and widgets added for these sub-sites.
• User hierarchies so that institutional managers only see reports on their own users, while SSO administrators can see all users.
• Course shells which can then be edited by institutional administrators.",0.8360655737704918
37,Presentation and Access,Ability for a designated administrator to manage users and enrollments within a sub-site,M,Preferably multiple administrators would be able to make changes.,S,,0.6265060240963856
38,Communication and Marketing,Ability to configure and automate e-mail communication from the platform on a course-by-course basis,M,"Some specific types of e-mail communication are cited in the following lines, but these are not exhaustive. In addition to these, please comment on how, in general, your system provides for e-mail communication and the degree of control ADHA has over configuring these e-mails and customizing the content they contain. ",S,,0.5730994152046783
39,Communication and Marketing,"Configurable, automated confirmation e-mail sent upon completion of enrollment",M,ADHA should be able to specify the content of these e-mails on a course-by-course basis.,S,"Along with finding out whether they answered correctly and the points earned, end users can get feedback per response, per question, general feedback and/or score specific feedback. These settings allow you to set if and when  the end users see their responses.",0.4639175257731959
40,Communication and Marketing,"Configurable, automated reminder e-mail sent prior to start of course on date/time specified by ADHA",M,ADHA should be able to specify the content of these e-mails on a course-by-course basis.,S,Any number and variety of CourseStage activities and resources (including multiple SCORM packages) can be configured into a single course experience.,0.43956043956043955
41,Communication and Marketing,"Configurable, automated follow up e-mail sent at a time specified by ADHA after conclusion of course",M,ADHA should be able to specify the content of these e-mails on a course-by-course basis.,S,The dashboard is highly configurable with changeable blocks/widgets which can include reports. ,0.43820224719101125
42,Communication and Marketing,Ability to manually create and send e-mails to specific groups within the system (including all users),M,,S,Course shells can be given to the member company in their sub-portal. No other member companies would be able to see or access these courses. ,0.5428571428571428
43,Communication and Marketing,Ability to manually create and send e-mails on a course-by-course basis,M,,S,Custom user profile fields can be added that are specific to companies (sub-portals). Couse profile fields can be added on a sitewide basis.,0.6086956521739131
44,Communication and Marketing,Ability to apply ADHA branding to e-mails,M,"This might include, for example, the ability to set up templates in which ADHA has some level of control over the HTML and CSS used. Please comment in system's ability to support this. ",S,Done via course messaging (user sends request to faculty or admin to waive the pre-requisite) and user overrides. ,0.48484848484848486
45,Communication and Marketing,"Ability to customize recommendations for learning products to individual learners based on past enrollments and purchases (e.g., since you bought X, you might also like Y) and profile data (e.g., geographic location or specialty)",M,,S,,0.20064724919093851
46,Communication and Marketing,"All non-protected site pages (and, in particular, catalog pages) indexable by external search engines (e.g., Google)",M,Please indicate the extent to which on-page SEO items like page title can be managed by ADHA.,S,,0.4019138755980861
49,Communication and Marketing,Ability to bundle courses together for purchase,M,"Note: If e-commerce is done through the platform, the platform should be able to provide discounted rates for bundles as specified.",S,,0.7619047619047619
51,Communication and Marketing,"Ability to offer coupons, discounts, and give-aways",M,"Please describe what functionality exists in the system to support these types of promotional activities. ADHA is interested, for example, in being able to provide discounts when organizations register multiple people for a product/event, or for purchasing products within a certain time period after an event. It should be possible to associate multiple discounts with a specific product.",S,,0.5
52,Assessment and Evaluation,Ability to author assessments (tests) that can be associated with a course/activity,M,"Please indicate the question types available for assessments. As noted in item 17, it should be possible to associate an assessment with any type of activity, whether live, on-demand, online, or place-based.",S,"Evaluations can exist within the context of a course/activity. CourseStage LMS evaluation authoring tool provides the ability to create numerous questions types: check boxes, date, dropdown box, essay box, label, numeric, radio buttons, scale (Ex: 1 to 5), text box, Yes/No.",0.7924528301886793
53,Assessment and Evaluation,"Ability to publish an assessment (test) as a stand alone item (i.e., not associated with a course)",M,ADHA intends to use the functionality of the LMS to have dental hygienists take a self-assessment that will measure their knowledge across various competencies and then match their results to available courses,S,,0.57
54,Assessment and Evaluation,Ability to store assessment (test) items in a question bank for re-use across multiple assessments,M,This functionality will come into play with ADHA's NBR program as well as other likely uses.,S,Questions can be categorized and tagged to facilitate linking to specific learning objectives. They can then be available system-wide or course-wide and can be pulled from multiple question banks into an assessment.,1.0
56,Assessment and Evaluation,Ability to copy existing assessments (tests) for creating a new ones,M,,S,,0.9014084507042254
57,Assessment and Evaluation,Ability to author evaluations (surveys) that can be associated with a course,M,"Please indicate the question types available for evaluations in your system. As noted it item 19, it should be possible to associate an evaluation with any type of activity, whether live, on-demand, online, or place-based.",S,"Evaluations can exist within the context of a course/activity. CourseStage LMS evaluation authoring tool provides the ability to create numerous questions types: check boxes, date, dropdown box, essay box, label, numeric, radio buttons, scale (Ex: 1 to 5), text box, Yes/No.",1.0
60,Assessment and Evaluation,Ability to copy existing evaluations (surveys) for creating new ones,M,,S,,0.7375886524822695
73,Assessment and Evaluation,Ability to specify the number of times an end user may complete an assessment (test),M,We are exploring limiting the number of attempts people have as some partners do this for their tests.,S,,1.0
74,Assessment and Evaluation,Ability to specify the number of times an end user may complete an evaluation (survey),M,We would like to limit the number of times someone answers a survey to help our research team process results.,S,,0.8588235294117647
79,Tracking and Reporting,"Ability for a learner to view a transcript with their status in courses (e.g., complete/in progress, etc.), scores, credit earned, and ability to download any certificates that have been issued",M,,S,"Certificates are automatically generated when course completion requirements are met. Certificates are available in PDF format within the course they are earned and are always accessible within each learner's training transcript in their LMS profile. Certificates can be viewed, saved and printed by users.",0.42857142857142855
80,Tracking and Reporting,"Ability for authorized administrator to generate reports on major system data (e.g., course enrollments, course completions, assessment and evaluation data, and course access code use)",M,Please provide a list of standard reports available in the system and indicate the extent to which ADHA would be able to configure its own system reports vs. the extent to which it would need to rely on services provided by your staff (including any related fees).,S,"Administrators will have the ability to generate each standard report offered in the CourseStage LMS. 

The site-wide transcript is a high-level activity report that records each member’s activity, including information access, meeting attendance, enrollments, time spent within an activity, and more. It can be viewed at an individual or a site-wide level. It is accessible per student, to show an individual learner’s activity; or per teacher, to show multiple learners’ activities.The training transcript can be filtered to allow a non-technical administrator to cut the data in a number of ways without SQL knowledge:
• By the date learners started or completed courses and assessments.
• By learners’ status (failed, passed, in progress).
• By a specific learner.
• By manager.
• By designators and other parameters. 

Information is displayed as a list of courses by user and includes:
• Activity name
• Start and completion dates
• Attended duration: time spent in the activity
• Status: complete, in progress, unattempted, etc.
• Score: percent, letter grade, etc., depending on settings
• Credits received (if applicable): again, the type and number of credits are customizable
• Delivery method of course: online, face-to-face, Webinar, conference, or other adminstrator-input delivery method
• Certification: attained or not attained
Frequently accessed reports can be saved as ""favorites"" by administrators. If desired reports cannot be pulled using the filters provided (date, course, group, region, etc.) in the report feature, custom reports are available as a customization. Fees are dependent on the report requested.

Other report types include: 
• Site-wide Reports: PARS, Activity Logs, Course Overview Report
• Courses and Course Components: Grade book report, assessment reports (quiz results reports, pre-post comparison report, quiz item analysis reports, site-wide item analysis and peer benchmarking), SCORM results reports, evaluation results reports, attendance reports, assignment reports, course completion reports, acitivty completion reports, activity report and course participation report.
• User Profile Reports: User transcript report, user activity logs, user statistics report, role assignment report and user grade report.
",0.9176470588235294
83,Tracking and Reporting,"Ability to export all report data in an analyzable, manipulable format (e.g., CSV, XLS, or tab-delimited form)",M,Please indicate the output format(s).,S,"Pulled reports can be exported via Excel or CSV. and then published to a PDF. Individual learner transcript results within pulled report can be exported directly to PDF, as well as Excel and CSV.",1.0
86,Support and Service,Training for ADHA staff,M,"Different ADHA staff will need different amounts and types of training--for example, all staff should understand the platform at a high-level, but the education staff and those providing customer service will need more hands-on detail. ",S,"Administrator training (typically virtual sessions, recorded for later use) is included as part of the system implementation. There is no limit on the number of attendees at the training session. Training sessions, include, but are not limited to, topics such as:
• Educational content management post-setup
• User management
• Certification management
• Course authoring tools

WCW will also provide client-specific documentation for all CourseStage extensions and customizations.

Ongoing training is available at an hourly rate for technical and instructional design support. This support is provided as virtual sessions, recorded for later use. On-site training is available for an additional fee.",0.9130434782608695
87,Support and Service,E-mail based support for ADHA staff,M,Please comment on hours of operation and typical response times.,S,Web Courseworks holds an annual virtual user group meeting for clients to showcase their uses of the LMS and share ideas. ,0.6
92,Support and Service,Dedicated account manager,M,,S,An account manager is assigned to every CourseStage client.,1.0
93,Technical Topics and Integration,Compatible with all major operating systems and browsers,M,"If there are any known operating system or Web browser incompatibilities, please indicate these.",S,,0.9911504424778761
95,Technical Topics and Integration,Vendor-hosted solution,M,Please provide basic information about your hosting infrastructure and service level agreements.,S,"CourseStage is a hosted, SaaS offering, residing at Amazon Web Services (AWS). Single instances of CourseStage have successfully scaled to serve single client initiatives involving over 90,000 active users on an annual basis with 5,000 concurrent users. A sample standard SLA can be provided upon request.",0.7333333333333333
97,Technical Topics and Integration,Ability to support single sign-on with iMIS,M,"Please comment on your previous experience doing SSO integration with iMIS. If possible, please provide documentation of your available APIs/Web services.",S,"We have experience with client preferred third-party webinar systems including GoToMeeting, WebEx, Adobe Connect and custom webinar solutions. The functionality provides:
• SSO
• Role assignment (e.g., give a user Presenter role in CourseStage and they will be Presenter in the GoToMeeting session)
• Single entry: administrator can create a GoToMeeting session from within CourseStage, including setting the start and end time, public/private status, etc. - so you don't have to separately log into GoToMeeting to create the meeting, then enter a meeting ID into CourseStage.
• CourseStage groups functionality: the GoToMeeting session can be only accessible to users who belong to a designated group within the CourseStage course (helpful if you are running a university-style course where users move through a single course in multiple sessions)",0.8
99,Technical Topics and Integration,"Ability to pass data (e.g., course enrollments, completions, and scores) back to iMIS",M,"Please comment on how you have achieved this type of integration with iMIS or another customer/member database in the past (e.g., in real time via Web service or via daily batch files).",S,"Administrators will have the ability to generate each standard report offered in the CourseStage LMS. 

The site-wide transcript is a high-level activity report that records each member’s activity, including information access, meeting attendance, enrollments, time spent within an activity, and more. It can be viewed at an individual or a site-wide level. It is accessible per student, to show an individual learner’s activity; or per teacher, to show multiple learners’ activities.The training transcript can be filtered to allow a non-technical administrator to cut the data in a number of ways without SQL knowledge:
• By the date learners started or completed courses and assessments.
• By learners’ status (failed, passed, in progress).
• By a specific learner.
• By manager.
• By designators and other parameters. 

Information is displayed as a list of courses by user and includes:
• Activity name
• Start and completion dates
• Attended duration: time spent in the activity
• Status: complete, in progress, unattempted, etc.
• Score: percent, letter grade, etc., depending on settings
• Credits received (if applicable): again, the type and number of credits are customizable
• Delivery method of course: online, face-to-face, Webinar, conference, or other adminstrator-input delivery method
• Certification: attained or not attained
Frequently accessed reports can be saved as ""favorites"" by administrators. If desired reports cannot be pulled using the filters provided (date, course, group, region, etc.) in the report feature, custom reports are available as a customization. Fees are dependent on the report requested.

Other report types include: 
• Site-wide Reports: PARS, Activity Logs, Course Overview Report
• Courses and Course Components: Grade book report, assessment reports (quiz results reports, pre-post comparison report, quiz item analysis reports, site-wide item analysis and peer benchmarking), SCORM results reports, evaluation results reports, attendance reports, assignment reports, course completion reports, acitivty completion reports, activity report and course participation report.
• User Profile Reports: User transcript report, user activity logs, user statistics report, role assignment report and user grade report.
",0.5643153526970954
102,Technical Topics and Integration,"Ability to deliver and track content on mobile devices (e.g., iPhone, iPad, Android)",M,"Please specify the mobile devices supported, if applicable. Please comment on whether you make use of responsive design for mobile accessibility ",S,,0.5064935064935064
104,Technical Topics and Integration,Structured exposure of all data collected/generated by the system for export to/consumption by 3rd-party applications.,M,"This is relevant, for example, for sending course completion data back to a membership database or sending course purcahse information to a financial system.",SS,"A number of base reports enable administrators to combine multiple filters to generate ad hoc reports. Favorite reports can be saved. In addition to the ad hoc functionality, many reports can be configured to be sent to an email address, FTP site, or SFTP site on a scheduled basis. There are dozens of standard reports included in CourseStage, spanning from high level system usage data to granular reporting on single quiz items.",0.44554455445544555
105,Technical Topics and Integration,Please discuss your merchant compatability for credit card processing and include any information about your PCI compliance.,M,"This is labeled 'must' as purchasing options are necessary with an LMS, but it's an area to discuss specific vendors you integrate with (e.g. Paypal) and any PCI compliance items we should know about.",S,Credit settings can be configured to either automatically award or have the learner self select the credits they want to claim. ,0.40625
108,Content Development,Ability to create learning content with built-in content authoring functionality,M,,SS,A number of dashboards are available with base functionality. New reports can be configured by WCW staff. ,0.5441176470588235
109,Content Development,"Ability to import and configure content developed in external tools, such as Articulate, Captivate, and Lectora",M,,S,"Faculty can be uploaded into the LMS and are added to the ""users"" list. From the course settings, the admin would be able to search the users list to add the faculty member (no need to re-create faculty that already exist in the LMS). ",0.5257142857142857
110,Content Development,"Ability to support the import of SCORM, AICC, or xAPI compliant content",M,,S,"Any file can be uploaded to CourseStage and accessed by learners as part of a course. CourseStage allows administrators and course developers to author and upload external content including:

• PPT, Word docs, Excel spreadsheets, PDFs, image files, etc.
• Multimedia assets (audio files as mp3, video files as mp4, files served from outside CourseStage LMS into a course frame, etc)
• Recorded webinars

",0.6614173228346457
111,Content Development,Ability to create reusable learning objects that can be incorporated into different educational offerings,M,,S,,0.5
112,Content Development,"Ability to categorize content objects based on (1) topics, (2) level of education, (3) audience, and (4) learning objectives",M,,SS,"Most course-level notifications can be customized. User-specific notfication settings can also be customized: e.g., users can turn off certain classes of notfications (like expiration notifications). 

The ability to customize notifications on the member company level can be achieved by ensuring that a user profile field exists for the member company and is populated though a process like user profile synch with iMIS. This would then allow course-level notifications created with the Notifications module to be customized for member companies. ",0.4387755102040816
115,Content Development,Ability for both internal and external content creators to upload documents to the platform,M,,S,Client branding can be applied to any emails that use a WYSIWYG editor.,0.48322147651006714
116,Content Development,"Ability to import PowerPoint, MS Word, Excel, Visio, HTML pages, PDF, etc.",M,,S,"Pulled reports can be exported via Excel or CSV. and then published to a PDF. Individual learner transcript results within pulled report can be exported directly to PDF, as well as Excel and CSV.",0.4634146341463415
117,Content Development,Ability to flag content changes and provide user with the option to view specific revisions,M,,S,,0.5362318840579711
118,Content Development,"Ability to assemble media objects and files (e.g., PDF, PPT, and Word) into distinct Web-based courses",M,,SS,"While CourseStage has the ability to host large media files, most clients choose to host large videos (larger than 750 MB) elsewhere to maximize the speed of the LMS. 

20gb of storage is included in the base setup of the LMS. If a very large amount of video needs to be hosted and delivered via the LMS, we can configure streaming via Amazon's Cloudfront distribution network as an add-on service. This service has been configured for other clients.",0.5298013245033113
119,Content Development,Ability to embed media objects such as videos into Web-based courses,M,,S,,0.6206896551724138
120,Content Development,"Ability to incorporate quizzes or tests into a course, preferably pulled from a central item bank of questions that is also categorized based on topic, level of education, audience and learning objectives",M,,SS,There are many gamification tools in the system such as the high scores block which can show the highest performing individuals on a specific quiz. ,0.19661016949152543
122,Content Development,"Ability to have a workflow in place to help facilitate course creation that steps staff through the development of a course (i.e., a course creation wizard)",M,,S,Course expiration is based on specific user enrollments. Enrollment methods can be enabled/disabled to allow users to enroll into a course at designated times. Course start and end dates can also be configured. ,0.4505928853754941
123,Content Development,"The ability  to allow multiple users to edit, review, and approve content",M,,S,,0.5401459854014599
5,Educational Content,"Ability to configure and manage live, place-based courses in the system",N,"ADHA would like to be able to house the majority of its educational content in the platform, not just its online content. This would include content offered at a variety of seminars/meetings throughout the year.",S,,1.0
13,Educational Content,Real-time chat tool for communication between learners and instructors,N,"If this is not possible, please discuss integrations that might address this area (e.g. Slack, etc.)",SS,There are many gamification tools in the system such as the high scores block which can show the highest performing individuals on a specific quiz. ,0.4472049689440994
14,Educational Content,Other peer-to-peer communication tools to support social learning,N,"To the extent they are not already addressed above, please specify what communication tools are available to learners in the system. Comment briefly on whether you have integrated with external community platforms.",SS,Requires add-on Face-to-Face module (not included in this proposal). ,0.417910447761194
20,CE and Certification,Ability to configure and issue multiple types of credit for the same course,N,,S,Any number and variety of CourseStage activities and resources (including multiple SCORM packages) can be configured into a single course experience.,0.6369426751592356
31,Presentation and Access,Ability to manage purchases made by purchase order,N,"This might involve, for example, enabling a transaction to take place based upon submission of a purchase order, but withholding access to content until the purchase order is marked as paid. ",S,,0.5773195876288659
50,Communication and Marketing,Does the LMS allow for ad space to be sold by host organization? Are there any limitations if this is allowed?,N,,S,,0.3829787234042553
55,Assessment and Evaluation,Ability to randomize the questions used in an assessment (test),N,"Please specify the types of randomization the system supports (e.g., by randomizing which questions are included in the assessment; by randomizing the order in which questions are presented; by randomizing the order in which distracters, or answer options, are presented).",S,,0.8
64,Assessment and Evaluation,"Ability to easily insert rich-media (e.g., video) into an assessment (test) question",N,,S,"Media can be included as part of question text, possible answers,  response feedback or overall assessment feedback using the WYSIWYG editor.",0.9565217391304348
66,Assessment and Evaluation,Ability to apply branching or skip logic based on the answer to a question in an evaluation (survey),N,,CC,"Branching or skip logic questions are not an available feature within evaluations, but they are available independently as a separate, graded activity. Branching and skip logic within the standard evaluation module could be developed as a feature addition. ",1.0
67,Assessment and Evaluation,Ability for end users to see their responses to an assessment (test) and see that compared to others completing the assessment,N,,S,,0.5628140703517588
68,Assessment and Evaluation,Ability for test takers to see what questions they got wrong.,N,Our users often ask for this information. If it is possible to link the answer back to a specific piece of content that would also be nice.,S,CourseStage LMS has detailed item analysis reports at both the assessment and sitewide level. ,0.5390070921985816
76,Assessment and Evaluation,Ability to link assessment items or question banks to a learning objective and generate tests that cover each learning objective,N,,S,Questions can be categorized and tagged to facilitate linking to specific learning objectives. They can then be available system-wide or course-wide and can be pulled from multiple question banks into an assessment.,0.5221238938053098
84,Tracking and Reporting,"Ability to export all report data in a nicely formatted format (e.g., PDF or HTML)",N,Please indicate the output format(s).,S,"Pulled reports can be exported via Excel or CSV. and then published to a PDF. Individual learner transcript results within pulled report can be exported directly to PDF, as well as Excel and CSV.",0.8023255813953488
114,Content Development,Ability to create and edit content both online and offline,N,,S,Custom user profile fields can be added that are specific to companies (sub-portals). Couse profile fields can be added on a sitewide basis.,0.624
121,Content Development,Ability to have content consisting of games or competitions,N,,S,"Courses can be hidden, which will hide them from the catalog. ",0.5894736842105263
1,Educational Content,"Ability to import, launch, and track SCORM-compliant content",S,Minimum 1.2. Please indicate the version(s) of SCORM to which you comply and whether your platfom has been independently tested. Please also indicate your plans with respect to Tin Can/Experience API.,S,"Any file can be uploaded to CourseStage and accessed by learners as part of a course. CourseStage allows administrators and course developers to author and upload external content including:

• PPT, Word docs, Excel spreadsheets, PDFs, image files, etc.
• Multimedia assets (audio files as mp3, video files as mp4, files served from outside CourseStage LMS into a course frame, etc)
• Recorded webinars

",0.8275862068965517
6,Educational Content,Ability to blend place-based and online learning into a unified learning experience,S,"It should be possible, for example, to associate documents, videos, evaluations, and discussions with specific face-to-face sessions so that these are accessible only by attendees at that session.",S,Any number and variety of CourseStage activities and resources (including multiple SCORM packages) can be configured into a single course experience.,0.509090909090909
10,Educational Content,Ability to offer open discussion forums that any user in the platform can join,S,"ADHA does not currently have a community in place, but it would be nice if the LMS could offer some functionality in this space",S,,0.8679245283018868
15,Educational Content,Ability for learners to upload content for review by the instructor for a course,S,Please specify what types of files are supported and any size limitations.,S,Blocks can be added for comments to be added by learners in the course. ,0.6624203821656051
16,Educational Content,Ability for learners to upload content for review by other learners enrolled in the same course,S,Please specify what types of files are supported and any size limitations.,S,Blocks can be added for comments to be added by learners in the course. ,0.5930232558139535
22,CE and Certification,"Ability for users to claim credit, including specifying the amount of credit earned, after completing a course and (if required) completing the evaluation",S,"While the platform should be able to automatically issue credit for online courses (see item above), it should also be possible to override this function and require users to actively claim the appropriate amount of credit in the case of live courses. ",S,Requirements for issuance of credit are set at the course level and disbursed automatically upon successful completion according to those requirements. ,0.5655737704918032
32,Presentation and Access,"Ability to support payment plans (e.g., a series of payments over time) for courses",S,"ADHA has extended this option to users in the past, but has had to manage it manually.",S,Course duration can be configured to a set number of days that is either relative to the course purchase date or first access. Any enrollment duration can be overridden by manually enrolling the user in the course (users can be enrolled by mutliple methods in one course). ,0.5384615384615384
